file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc,ocr_tesseract_psm11,category,ground_truth,recognition_rate
0001.jpg,6,10,1,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.1666666666666666,"['*SP', 'CHCAFE&', 'WEIR', 'aHTSFELER', '\\\\—h[', '\\', 'l', 'U', 'ou1r-mgvu ZENTRUM —', 'WIR FREUEN UNS AUF EUCH!']",noisy,SPRACHCAFE WEIHNACHTSFEIER DIENSTAG 21.12. OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,0.16666666666666666
0002.jpg,7,35,3,0.5977443609022556,0.6530612244897959,0.3973214285714285,0.3469387755102041,"['D D', '3', '@', 'STA', 'N', '„', 'XM', 'S', '3', 'Z', ""'}"", '‘\\', 'A', '2a', 'LLL', 'n A', 'Au', '‘;n‚n', 'a', '5', '\\ /', 'L', 'E< );«rré‘', '‚-', '#SOLIDARITÄT MIT ALLEN!', 'BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH?', 'D', 'resden, Grofr Gaen‚ 8.8. u 16 Uhr', '\\', '\\', '3„«5', 'A', 'a', '<', 'e']",noisy,"SCHLIESST EUCH AN! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr",0.42857142857142855
0003.jpg,11,20,6,0.4912587412587412,0.5,0.5102040816326531,0.4545454545454545,"['Gedenkkundgebung und', 'antifaschistische Demonstration', 'Mahnmal Levetzowstraße, Berlin-Moabit', '9. November', '»E Ial', '-2023', '18:00 Uhr', 'GESCH', 'ND', '&', 'LÜ', 'U', 'JO', 'KANN E', 'ÖESOHEHE', '85 Jahre nach den Novemberpogromen;', 'WE', 'Solidarität mit den Opfern des', 'deutschen Antisemitismus und Rassismus!', '9november.blackblogs.org']",noisy,"»ES IST GESCHEHEN UND FOLGLICH KANN ES WIEDER GESCHEHEN.« Primo Levi Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November 1938–2023 18:00 Uhr 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org",0.5454545454545454
0004.jpg,11,7,2,0.8181818181818182,0.8181818181818182,0.1818181818181818,0.1818181818181818,"['FEIERABEND', 'SINGEN', 'f', '\\', 'X', 'M JEDESR 1ST >O-\\L4IC&WII.L>K;OMMEN!‘Ä', 'S']",noisy,"FEIERABEND SINGEN KULTUR NETZ Meiendorf IMMER UM 17.00 UHR JEDE*R IST ♥-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25",0.18181818181818182
0006.jpg,8,21,1,0.9134615384615384,0.9166666666666666,0.0833333333333333,0.0833333333333333,"[""x .I.I.V '( ].E—‘j"", 'aa“', 'll', '|‘l?-;l', 'ÜT', 'T,', '9)] u', 'P', 'Ba L', 'H', 'Z', 'n', 'mk', 'Y', 'OE UE N', '1', 'DEMO GEGEN GENTRIF', 'IZIERUNG', 'Ng', '1', '00 UHR']",noisy,IHR HABT UNS DIE STADT GESTOHLEN GEBT SIE WIEDER HER! ZUKUNFT STATT OSTKREUZ CAMPUS DEMO GEGEN GENTRIFIZIERUNG 09. JULI 2022 / 15:00 UHR,0.125
0007.jpg,6,12,0,1.0,1.0,0.0,0.0,"['Cl', 'ß', '‘{', 'Z', 'F', '‘Y‘?', '[\\', '- «X', '4 on', 'AL', 'N', 'N']",noisy,9. Mai 2024 Demo Herrentag Tag der Befreiung! 13h Ostkreuz (Seite Sonntagstraße),0.0
0009.jpg,15,22,2,0.8907407407407407,0.9555555555555556,0.1072222222222222,0.0444444444444444,"['>n£Aé.*üﬁc”?*', 'NRECHTS', 'ı 3', 'am 10. Mai 2022, 1%', 'eater, Burgg;', 'er.', 'liert', 'vien', 'Har', 'Stojk', 'Shlio', 'it Bi', 'bul', '4', 'KiezMer Reicaded', 'e English Lovers', 'mit.', 'le}', 'yar', 'Sir', ')MAS', 'El']",noisy,"OMAS GEGEN RECHTS Benefizabend am 10. Mai 2022, 19:30 Uhr Ateliertheater, Burggasse 71, 1070 Wien Anmeldung: www.ateliertheater.wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers Aret Aleksanyan · Muamer Budimlic · Margaret Carter Caroline Koczan · Ingrid Porzner · Monika Salzer · Susanne Scholl Jenny Simanowitz · Kathy Tanner · Vira Zhuk und OMAS-ON-STAGE ATELIERTHEATER Eintritt frei",0.13333333333333333
0010.jpg,4,10,0,1.0,1.0,0.0,0.0,"['GRU', 'ESETZ', 'MED', '%', '02.0522020', 'THDN', ') UHR', 'REWELBE', 'M', 'TEL']",noisy,GRUNDGESETZ MEDITATION 02.05.2020 15:30 UHR REWE BLIESKASTEL,0.0
0011.jpg,7,55,2,0.768140589569161,1.1785714285714286,0.2302721088435374,0.1071428571428571,"['R', 'zl', '‚A', 'v', 'n', 'TL', 'H#', '— B', ']', 'e @Ä—@£a b', 'T', 'D', 'I', 'l', '3„', 'Am 11. Janvar 2025', 'l„‚', '}', 'A', 'M', 'B;“”‘', 'x=‚w nach R|esa in', '; 5 A.‚', '€‚', ""‚ 1'?-'v*rv"", '8', '{ 1', '4', 'AL', 'f', 'H', ""la' !"", '5}', '\\y 4', 'RI', 'BL', 'ABa', 'v;', '7!', 'S', 'W', '/', 'T', 'A', 'Al', '(', '4', '‚P', 'ür', 'e“’\\', 'F""', '\'I\'“"" ‘Ä', ""A',"", 'Aufstehen gegen-ﬁä%ßmus d', '£„é E']",noisy,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD- BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de,0.2857142857142857
0012.jpg,10,15,4,0.6590374331550801,0.6928571428571428,0.3403508771929824,0.2821428571428571,"['KRATISCHER', 'S', 'oMM e%z', 'ICHT OHNE UNS !, in Berlin 29. August 20202 Großdemo mit bis zı', 'C', 'NICHT OHNE UNS! Eura /ODc', 'lnlcﬂln29', 'Parade und Kundgebung', 'KAnST e', 'und eine', 'Saturday, the 29.8.2020', 'Berlin invites Europe', '/', 'ne U', '1']",noisy,"DEMOKRATISCHER Sommer www.nichtohneuns.de NICHT OHNE UNS! in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern. NICHT OHNE UNS! Europe in Berlin 29. August Parade und Kundgebung für das Grundgesetz und eine Basis-Demokratische Wende Saturday, the 29.8.2020 Berlin invites Europe Nicht Ohne Uns!",0.4
