file_name,category,ground_truth,ocr_easyocr,cer,wer,normalized_ocr_easyocr,cer2,wer2
0001.jpg,noisy,SPRACHCAFE WEIHNACHTSFEIER DIENSTAG 21.12 OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,SPRACHCAFE WEIFNAGHTSFEIER DIENSTAG 21.12_ OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,0.03260869565217391,0.15384615384615385,SPRACHCAFE WEIFNAGHTSFEIER DIENSTAG 21.12_ OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,0.03260869565217391,0.15384615384615385
0002.jpg,noisy,"SCHLIESST EUCH AN! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? DRESDEN, GROßER GARTEN, 8.8. UM 16 UHR","Schliesst Eucx ANy EI Videc & Contert EIchtohneuns_Dresder KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BerICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr",0.2215909090909091,0.52,"Schliesst Eucx ANy EI Videc & Contert EIchtohneuns_Dresder KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BerICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr",0.2215909090909091,0.52
0003.jpg,noisy,"»ES IST GESCHEHEN UND FOLGLICH KANN ES WIEDER GESCHEHEN.« Primo Levi Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November 1938–2023 18:00 Uhr 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org","Gedenkkundgebung und antifaschistische Demonstration [S IST Mahnmal Levetzowstraße, Berlin-Moabit 9.November 1938 2023 18:00 Uhr BESOHHEH UD FoLGLIOH KHES MFJERGESGHEHEIIs Primo Levi 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des Onovember blackblogs org deutschen Antisemitismus und Rassismus!",0.5634674922600619,0.7105263157894737,"Gedenkkundgebung und antifaschistische Demonstration [S IST Mahnmal Levetzowstraße, Berlin-Moabit 9.November 1938 2023 18:00 Uhr BESOHHEH UD FoLGLIOH KHES MFJERGESGHEHEIIs Primo Levi 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des Onovember blackblogs org deutschen Antisemitismus und Rassismus!",0.5634674922600619,0.7105263157894737
0004.jpg,noisy,"FEIERABEND SINGEN KULTUR NETZ Meiendorf IMMER UM 17.00 UHR JEDE*R IST ♥-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25","FEIERABEND KULTUR NETZ Meiendorf SINGEN 8 8 40 4 IMMER UM 17.00 UHR JEDE*R IST v-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25 0ay> oti clouds cient Ahe der Ahe An hun ends n",0.45569620253164556,0.8181818181818182,"FEIERABEND KULTUR NETZ Meiendorf SINGEN 8 8 40 4 IMMER UM 17.00 UHR JEDE*R IST v-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25 0ay> oti clouds cient Ahe der Ahe An hun ends n",0.45569620253164556,0.8181818181818182
0006.jpg,noisy,IHR HABT UNS DIE STADT GESTOHLEN GEBT SIE WIEDER HER! DEMO GEGEN GENTRIFIZIERUNG 09. JULI 2022 / 15:00 UHR,CIv:V:UnA DIESTADIE GESTOHLEN @GEBTISIE QhmtgsKZdMU4Z) Fir WIEDERHER! DEMO GEGEN GENTRIFIZIERUNG 09M00i72022/ 75-00 UHR,0.4339622641509434,0.7368421052631579,CIv:V:UnA DIESTADIE GESTOHLEN @GEBTISIE QhmtgsKZdMU4Z) Fir WIEDERHER! DEMO GEGEN GENTRIFIZIERUNG 09M00i72022/ 75-00 UHR,0.4339622641509434,0.7368421052631579
0007.jpg,noisy,9. Mai 2024 Demo Herrentag Tag der Befreiung! 13h Ostkreuz (Seite Sonntagstraße),9 Mai 2024 Demo Hernrfcag qeguen Beiung! 13h Ostkreuz (Seite sonntagstraße),0.175,0.5,9 Mai 2024 Demo Hernrfcag qeguen Beiung! 13h Ostkreuz (Seite sonntagstraße),0.175,0.5
0009.jpg,noisy,"OMAS GEGEN RECHTS Benefizabend am 10. Mai 2022, 19:30 Uhr Atelier­theater, Burggasse 71, 1070 Wien Anmeldung: www.ateliertheater.wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers Aret Aleksanyan Muamer Budimlic Margaret Carter Caroline Koczan Ingrid Porzner Monika Salzer Susanne Scholl Jenny Simanowitz Kathy Tanner Vira Zhuk und OMAS-ON-STAGE ATELIERTHEATER Eintritt frei",")MAS GEGEN RECHTS enefizabend am 10. Mai 2022, 19.30 Uhr Iteliertheater, Burggasse 71, 1070 Wien Inmeldung: www ateliertheater wien Harri Stojka Shlomit Butbul Kllezmer Reloaded The English Lovers Aret Aleksanyan - Muamer Budimllc Margaret Carter Caroline Koczan . Ingrid Porzner Monlka Salzer Susanne Scholl Jenny Simanowitz Kathy Tanner Vlra Zhuk und OMAS-ON-STAGE ITELIERTHEATER Eintritt",0.05612244897959184,0.3137254901960784,")MAS GEGEN RECHTS enefizabend am 10. Mai 2022, 19.30 Uhr Iteliertheater, Burggasse 71, 1070 Wien Inmeldung: www ateliertheater wien Harri Stojka Shlomit Butbul Kllezmer Reloaded The English Lovers Aret Aleksanyan - Muamer Budimllc Margaret Carter Caroline Koczan . Ingrid Porzner Monlka Salzer Susanne Scholl Jenny Simanowitz Kathy Tanner Vlra Zhuk und OMAS-ON-STAGE ITELIERTHEATER Eintritt",0.05612244897959184,0.3137254901960784
0010.jpg,noisy,GRUNDGESETZ MEDITATION 02.05.2020 15:30 UHR REWE BLIESKASTEL,GRUNDOESETZ MEDITATION 02.05.2020 15830 UHR REWE BLIESKASTEL @RonnvsKochshow Berlin,0.4166666666666667,0.5714285714285714,GRUNDOESETZ MEDITATION 02.05.2020 15830 UHR REWE BLIESKASTEL @RonnvsKochshow Berlin,0.4166666666666667,0.5714285714285714
0011.jpg,noisy,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD-BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de,SAVE THEDATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD BUNDESPARTEITAG STOPPT DIE Aufstehen-gegen-Rassismus de AfD,0.088,0.4117647058823529,SAVE THEDATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD BUNDESPARTEITAG STOPPT DIE Aufstehen-gegen-Rassismus de AfD,0.088,0.4117647058823529
0012.jpg,noisy,"DEMOKRATISCHER Sommer www.nichtohneuns.de NICHT OHNE UNS! in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern. NICHT OHNE UNS! Europe in Berlin 29. August Parade und Kundgebung für das Grundgesetz und eine Basis-Demokratische Wende Saturday, the 29.8.2020 Berlin invites Europe Nicht Ohne Uns!","DEBOKRATISCHER NICHT OHNE UNS in Berlin 29. August 20202 GroBdemo mit bis zu 5.000.00O Teilnehmern NICHT OHNE UNS!  Europe in Berlin 296 August Parade und Kundgebung fur das Grundgeset z und eine Basis-Demokratische Wende Saturday, the 29.8.2020 Berlin invites Europe Kaptte 9284 Oyatkk Nicht Ohne Uns MnSERE 8",0.2064516129032258,0.38636363636363635,"DEBOKRATISCHER NICHT OHNE UNS in Berlin 29. August 20202 GroBdemo mit bis zu 5.000.00O Teilnehmern NICHT OHNE UNS! Europe in Berlin 296 August Parade und Kundgebung fur das Grundgeset z und eine Basis-Demokratische Wende Saturday, the 29.8.2020 Berlin invites Europe Kaptte 9284 Oyatkk Nicht Ohne Uns MnSERE 8",0.2032258064516129,0.38636363636363635
