file_name,precision,recall,f1_score,tp,fp,fn
0001.jpg,0.5,0.5,0.5,3,3,3
0002.jpg,0.5714285714285714,0.6666666666666666,0.6153846153846153,4,3,2
0003.jpg,0.625,0.625,0.625,5,3,3
0004.jpg,0.2857142857142857,0.3333333333333333,0.30769230769230765,2,5,4
0006.jpg,0.75,0.75,0.75,3,1,1
0007.jpg,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1
0009.jpg,0.6666666666666666,0.5714285714285714,0.6153846153846153,4,2,3
0010.jpg,1.0,0.3333333333333333,0.5,2,0,4
0011.jpg,1.0,0.6,0.7499999999999999,3,0,2
0012.jpg,0.7,0.7,0.7,7,3,3
0013.jpg,0.5,0.42857142857142855,0.4615384615384615,3,3,4
0014.jpg,0.3333333333333333,0.2,0.25,1,2,4
0015.jpg,1.0,0.375,0.5454545454545454,3,0,5
0016.jpg,0.6,0.375,0.4615384615384615,3,2,5
0017.jpg,1.0,0.5384615384615384,0.7000000000000001,7,0,6
0018.jpeg,0.7142857142857143,0.5555555555555556,0.6250000000000001,5,2,4
0019.jpg,0.3333333333333333,0.2,0.25,1,2,4
0020.jpg,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,3,3
0022.jpg,0.4444444444444444,0.36363636363636365,0.39999999999999997,4,5,7
0023.jpg,0.16666666666666666,0.2,0.1818181818181818,1,5,4
0024.jpg,0.75,0.3333333333333333,0.46153846153846156,3,1,6
0025.jpg,0.4,0.2857142857142857,0.3333333333333333,2,3,5
0026.jpg,1.0,0.6,0.7499999999999999,3,0,2
0027.jpg,0.2857142857142857,0.2857142857142857,0.2857142857142857,2,5,5
0028.jpg,0.5,0.42857142857142855,0.4615384615384615,3,3,4
0029.jpg,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6
0030.jpg,0.5,0.42857142857142855,0.4615384615384615,3,3,4
0031.jpg,1.0,0.875,0.9333333333333333,7,0,1
0032.jpg,0.25,0.16666666666666666,0.2,1,3,5
0035.jpg,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1
0036.jpg,0.8333333333333334,0.625,0.7142857142857143,5,1,3
0037.jpeg,0.2,0.14285714285714285,0.16666666666666666,1,4,6
0039.jpeg,0.75,0.42857142857142855,0.5454545454545454,3,1,4
0040.jpeg,0.25,0.16666666666666666,0.2,1,3,5
0041.jpg,0.16666666666666666,0.14285714285714285,0.15384615384615383,1,5,6
0043.jpg,1.0,0.6,0.7499999999999999,3,0,2
0044.jpg,0.6666666666666666,0.2857142857142857,0.4,2,1,5
0045.jpeg,0.7142857142857143,0.4166666666666667,0.5263157894736842,5,2,7
0046.jpeg,0.5,0.42857142857142855,0.4615384615384615,3,3,4
0047.jpg,0.25,0.125,0.16666666666666666,1,3,7
