file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc,ocr_easyocr,recognition_rate,category,ground_truth
0001.jpg,6,6,6,0.0222222222222222,0.25,0.9769841269841272,0.75,"['SPRACHCAFE', 'WEIFNACHTSFEIER', 'DIENSTAG 21.12_', 'OLOF-PALME ZENTRUM', '19 UHR', 'WIR FREUEN UNS AUF EUCH!']",1.0,noisy,SPRACHCAFE WEIHNACHTSFEIER DIENSTAG 21.12 OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!
0002.jpg,7,7,6,0.1947397563676633,0.4166666666666666,0.7996240601503759,0.5833333333333334,"['SchlIEsst Eucx Any', 'EI Videc & Contert', 'nIchtohneuns_Dresce:', 'KUNDGEBUNG', '#SOLIDARITÄT MIT ALLEN!', 'BerICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH?', 'Dresden, Großer Garten, 8.8. um 16 Uhr']",0.8571428571428571,noisy,"SCHLIESST EUCH AN! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? DRESDEN, GROßER GARTEN, 8.8. UM 16 UHR"
0003.jpg,11,18,6,0.529826234371689,0.8636363636363636,0.5001030715316429,0.2727272727272727,"['Gedenkkundgebung und', 'antifaschistische Demonstration', 'ES IST', 'Mahnmal Levetzowstraße, Berlin-Moabit', '9.November', '1938 - 2023', '18:00 Uhr', 'ASOHEHEH', 'UD', 'FOLALIOH ', 'KHES', 'MFERGESCHEHEIIs', 'Primo Levi', '85 Jahre nach den Novemberpogromen;', 'Solidarität mit den Opfern des', 'Onovember:', 'blackblogs org', 'deutschen Antisemitismus und Rassismus!']",0.5454545454545454,noisy,"»ES IST GESCHEHEN UND FOLGLICH KANN ES WIEDER GESCHEHEN.« Primo Levi Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November 1938–2023 18:00 Uhr 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org"
0004.jpg,11,28,10,0.101010101010101,0.1363636363636363,0.8977272727272727,0.8636363636363636,"['FEIERABEND', 'KULTUR', 'NETZ', 'Meiendorf', 'SINGEN', '40', 'e7', 'IMMER UM', '17.O0 UHR', 'JEDE*R IST v-LICH', 'WILLKOMMEN!', 'MITTWOCH, 21. JUNI 2023', 'Wo: Grundschule Islandstraße,', 'Islandstraße 25', '0ay>', 'oti', 'o1', 'pla', 'clouds', '0', 'cient', 'he', 'der', 'Ahe', 'An', 'hun', '~endy', 'Mnn']",0.9090909090909092,noisy,"FEIERABEND SINGEN KULTUR NETZ Meiendorf IMMER UM 17.00 UHR JEDE*R IST ♥-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25"
0006.jpg,8,8,6,0.3653914141414141,0.7291666666666666,0.6549107142857143,0.25,"['UI:i:n', 'DIESTADTE', 'GESTOHLEN', '@EBTISIE', '@iuntmngKU7UMUEE', 'WIEDERHER!', 'DEMO GEGEN GENTRIFIZIERUNG', '69u0uin 2022/ 15-00 UHR']",0.75,noisy,IHR HABT UNS DIE STADT GESTOHLEN GEBT SIE WIEDER HER! DEMO GEGEN GENTRIFIZIERUNG 09. JULI 2022 / 15:00 UHR
0007.jpg,6,7,4,0.3412698412698412,0.4166666666666667,0.6583333333333333,0.5833333333333334,"['9. Mai 2024', 'Demo', '#rnantag', 'qeguon', 'Becdiung!', '13h Ostkreuz', '(Seite sonntagstraße)']",0.6666666666666666,noisy,9. Mai 2024 Demo Herrentag Tag der Befreiung! 13h Ostkreuz (Seite Sonntagstraße)
0009.jpg,15,21,12,0.2495017237664296,0.5212698412698412,0.7521212121212121,0.5453968253968253,"[')MAS GEGEN RECHTS', 'enefizabend am 10. Mai 2022, 19.30 Uhr', 'Iteliertheater, Burggasse 71, 1070 Wien', 'Inmeldung: www ateliertheater wien', 'Harri Stojka', 'Shlomit Butbul', 'Kllezmer Reloaded', 'The English Lovers', 'Aret Aleksanyan', 'Muamer Budimllc', 'Margaret Carter', 'Caroline Koczan . Ingrid Porzner', 'Monlka Salzer', 'Susanne Scholl', 'Jenny Simanowitz', 'Kathy Tanner', 'Vlra Zhuk', 'und', 'OMAS-ON-STAGE', 'ITELIERTHEATER', 'Eintritt']",0.8,noisy,"OMAS GEGEN RECHTS Benefizabend am 10. Mai 2022, 19:30 Uhr Atelier­theater, Burggasse 71, 1070 Wien Anmeldung: www.ateliertheater.wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers Aret Aleksanyan Muamer Budimlic Margaret Carter Caroline Koczan Ingrid Porzner Monika Salzer Susanne Scholl Jenny Simanowitz Kathy Tanner Vira Zhuk und OMAS-ON-STAGE ATELIERTHEATER Eintritt frei"
0010.jpg,4,5,4,0.0352272727272727,0.3333333333333333,0.9633838383838385,0.6666666666666666,"['GRUNDOESETZ', 'MEDITATION', '02.05.2020 15830 UHR', 'REWE BLIESKASTEL', '@RonnvsKochshow Berlin']",1.0,noisy,GRUNDGESETZ MEDITATION 02.05.2020 15:30 UHR REWE BLIESKASTEL
0011.jpg,7,10,6,0.1654417011559868,0.5595238095238095,0.849624060150376,0.5357142857142857,"['SAVETHE DATE', 'Am 11. Januar 2025', 'nach Riesa', 'PROTEST GEGEN DEN AFD', 'BUNDESPARTEITAG', 'STOPPT', 'DIE', 'Aufstehen-gegen-Rassismus .de', 'Saas', 'AfD']",0.8571428571428571,noisy,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD-BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de
0012.jpg,10,18,7,0.3641110634941338,0.5333333333333333,0.643263172405787,0.4833333333333333,"['DESOKRATISCHER', 'NICHT OHNE UNS', 'in Berlin 29, August 20202 GroBdemo mit bis zu', '0OO.000 Tailnchmern', 'NICHT OKNE UNS!  Europe', 'in Berlin 29', 'August', 'Parade und Kundgebung fur das Grundgeset ?', 'und eine Basis-Demokratische wende', 'Saturday, the 29.8.2020', 'Berlin invites Europe', 'Kapatelistvs', 'Ohikir', 'Tvuel', 'Nicht Ohne Unsl', 'MnSERE', '}', '2']",0.7,noisy,"DEMOKRATISCHER Sommer www.nichtohneuns.de NICHT OHNE UNS! in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern. NICHT OHNE UNS! Europe in Berlin 29. August Parade und Kundgebung für das Grundgesetz und eine Basis-Demokratische Wende Saturday, the 29.8.2020 Berlin invites Europe Nicht Ohne Uns!"
