file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc,ocr_easyocr,recognition_rate
0001.jpg,6,6,4,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,"['SP', 'SPRACHCAFE', 'WEI', 'DIENSTAG 21.12.', 'OLOF-PALME ZENTRUM', '19 UHR']",0.6666666666666666
0002.jpg,7,2,2,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,"['nichtohneuns_Dresden', 'KUNDGEBUNG']",0.2857142857142857
0003.jpg,11,10,6,0.5446891492346038,0.7323232323232323,0.46637873135568986,0.18181818181818182,"['Gedenkkundgebung und', 'antifaschistische Demonstration', 'Mahnmal Levetzowstraße, Berlin-Moabit', '9.November', '19382023', '1938', 'Primo Levi', '85 Jahre nach den Novemberpogromen;', 'Solidarität mit den', 'blackblogs deutschen Antisemitismus und Rassismus!']",0.5454545454545454
0004.jpg,11,14,8,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.7272727272727273,"['FEIERABEND', 'KULTUR', 'NETZ', 'SINGEN Meiendorf', 'der he', 'An', 'hun', 'IMMER UM', '17.00 UHR', 'JEDE', 'JEDE*R IST', 'MITTWOCH, 21. JUNI 2023', 'Wo: Grundschule Islandstraße,', 'Islandstraße 25']",0.7272727272727273
0006.jpg,8,4,3,0.6477272727272727,0.75,0.3625,0.25,"['GESTOHLEN', 'WIEDERHERI', 'DEMO GEGEN GENTRIFIZIERUNG', '1500 UHR']",0.375
0007.jpg,6,5,3,0.5568181818181818,0.6388888888888888,0.436026936026936,0.3611111111111111,"['9 Mai 2024', 'Demo', 'B', '13h stkre', 'stkreu']",0.5
0009.jpg,15,11,4,0.7568627450980393,0.8333333333333334,0.2424242424242424,0.2,"['Uhr', 'nme ateliertheater wien', 'Harri Stojka', 'Shlomit Butbul', 'Reloaded The English Lovers', 'Aret Aleksanyan Muamer Budimllc Monlka Salzer Margaret Carter Susanne Scholl', 'Koczan Kathy Tanner', 'Jenny Simanowitz Kathy und', 'OMAS-ON-STAGE', 'TELIERTHEATER Eintritt', ""'EATER""]",0.26666666666666666
0010.jpg,4,9,3,0.2727272727272727,0.5,0.7272727272727273,0.5,"['GRUN ESETZ', 'GRUNDESETZ', 'MEDITATION', '02.05 UHR', 'REW 3 KA TEL', 'REWE BLIESKASTEL', 'KASTEL', 'RonnvsKochshow Berlin', 'Ronn']",0.75
0011.jpg,7,7,1,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,"['SAv', 'nach Riesa', 'M', 'FAS', 'STOPPT', 'DIE', 'AfD']",0.14285714285714285
0012.jpg,10,2,1,0.9,0.9,0.1,0.1,"['Berlin invites Europe', '4']",0.1
0013.jpg,9,6,4,0.5949074074074074,0.6592592592592593,0.42407407407407405,0.2222222222222222,"['BERLIN ORT: ORANIENPLATZ', 'KUNDGEBUNG', '19.FEB 14 UHR', 'JAHRE NACH', 'ISKS', 'KP']",0.4444444444444444
0014.jpg,8,9,3,0.7443181818181819,0.78125,0.275,0.125,"['HACK', 'SEXISM', 'Broschüren-Release', 'Bro', '1830', 'trategien und M', 'trategien und M', 'xismus unds', 'Festivals']",0.375
0015.jpg,5,3,0,1.0,1.0,0.0,0.0,"['28', '0', '19']",0.0
0016.jpg,10,8,4,0.6,0.6,0.4,0.4,"['Bau dein eigenen PC und Smartphone', 'Wo?', 'Mittelpunktbibliothek Treptow', 'PS: Alteleigene Geräte können', 'Wann? zum erforschen mitgebracht', 'zum erforschen mitgebracht', 'Samstag 16.11.2024 werden!', 'Jetzt Anmelden!']",0.4
0017.jpg,10,6,5,0.5074074074074074,0.5666666666666667,0.492,0.4333333333333334,"['76 Jahre', 'heißt', 'Sa, 08.05.2021', 'Sowjetisches Ehrenmahl Buch', 'Vortreffungpunkt 14.30 Uhr', 'Bahnsteig S-Pankow']",0.5
0018.jpeg,8,12,6,0.33910818713450297,0.3958333333333333,0.659502262443439,0.6041666666666666,"['KUNDGEBUNG & AUFZUG DURCH KASSEL', 'AUFZUG', 'mpfpflicht', 'Ärzte sprechen Klartext!', '29 JANUAR 2022', 'JA', 'A', '14.00 UHR', 'KÖNIGSPLATZ K', 'KASSEL', 'FREIE BÜRGER', 'KASSEL']",0.75
0019.jpg,8,17,2,0.75,0.75,0.25,0.25,"['a e', 'RALLY', 'START', 'ang und', 'g', 'na', 'ne NA', 'en än(', 'erden und in', 'und', 'ins', 'gehen Es', 'ge', ""'tal an"", 'ch ger he Zukun', 'heihrer', 'Alte']",0.25
0020.jpg,12,9,4,0.6927083333333334,0.6944444444444445,0.30833333333333335,0.3055555555555555,"['DEMONSTRATION', '9.2020', 'SCHÜLER/-INNEN GEGEN', 'DIE MASKENPFLICHT!', 'WO: MEISTERSINGERHALLE', 'NÜRNBERG. KAISER', 'KA', 'TOLLE REDNER', 'MODERATOR']",0.3333333333333333
0022.jpg,13,13,11,0.19466099118273028,0.3205128205128205,0.8204172638955248,0.5897435897435898,"['AKTION RESISTENZ FRUSTRATION', 'GEMEINSAMKEITWIDERSTAND HOFFNUNG', 'AUFSCHREI BESTÄRKUNG NETZWERK', 'TRAUER FLUCHT AUSBEUTUNG NEUANFANG', 'JAHR', 'TALIBAN', 'REGIME', 'DEMO; SAMSTAG 13.08.2022', '14.00 UHR, AUSWÄRTIGES AMT', 'PROTEST CAMP BERLIN', '13.08.2022 15.08.2022', 'WORKSHOPS PERFORMANCES REDEBEITRÄGE', '#DONTFORGETAFGHANISTAN']",0.8461538461538461
0023.jpg,11,11,8,0.2862669245647969,0.28787878787878785,0.7142857142857143,0.712121212121212,"['09 Mai', '09. Mai', '9', '15.30 Uhr Biberach Gigelberg', 'angemeldete DEMO', 'Wahrung der Grundrechte', 'freie Impfentscheidung', 'WICHTIG', 'bitte Mindestabstand einhalten', 'sonst könnte die Veranstaltung aufgelöst', 'werden']",0.7272727272727273
0024.jpg,11,14,2,0.8484848484848484,0.8863636363636364,0.14646464646464646,0.09090909090909091,"['HANAU', 'Weltweit tanzen an diesem Menschen', 'Tag', 'gegen Gewalt an Frauen', 'Macht mit', 'Marktplatz Tanzt mit', '2017 Eine', 'weltweite', 'Aktion', 'ONE BILLION RISING gegen Gewalt', 'HANAU an Frauen', 'Kaminsky', 'Schirmherr: Claus Kaminsky', 'Oberbürgermeister']",0.18181818181818182
