file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc,ocr_easyocr,recognition_rate
0001.jpg,6,6,4,0.3444444444444444,0.4166666666666667,0.6547619047619048,0.5833333333333334,"['SP', 'SPRACHCAFE', 'WE TSF', 'DIENSTAG 21.12', 'OLOF-PALME ZENTRUM', '19 UHR']",0.6666666666666666
0002.jpg,7,4,2,0.7357142857142858,0.8571428571428571,0.2714285714285714,0.14285714285714285,"['22 nichtohneuns_Dresden', 'KUNDGEBUNG', '#SOLIDARITÄT', 'BERICHTE']",0.2857142857142857
0003.jpg,11,7,3,0.7722504767959314,0.8636363636363636,0.23747680890538037,0.09090909090909091,"['Gedenkkundgebung und', 'antifaschistische Demonstration', 'Mahnmal Levetzowstraße, Berlin-Moabit', '9.November', '1938', 'Primo Levi', 'Solidarität mit den Opfern des']",0.2727272727272727
0004.jpg,11,9,6,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5454545454545454,"['FEIERABEND', 'KULTUR', 'NETZ', 'SINGEN Meiendorf', 'An der', 'IMMER UM', 'JEDE', 'Wo: Grundschule Islandstraße,', 'Islandstraße 25']",0.5454545454545454
0006.jpg,8,2,2,0.75,0.75,0.25,0.25,"['GESTOHLEN', 'DEMO GEGEN GENTRIFIZIERUNG']",0.25
0007.jpg,6,5,4,0.3643578643578644,0.47222222222222215,0.6314814814814814,0.5277777777777778,"['9 Mai 2024', 'Demo', '13h', '13h Ostkreuz', 'oeite Sonntagstraße)']",0.6666666666666666
0009.jpg,15,12,3,0.8205128205128206,0.8666666666666667,0.1846153846153846,0.2,"['enefizabend', 'am', '?', 'Harri Stojka', 'St', 'Shlomit Butbul', 'Klezmer Reloaded The English Lovers', 'eloaded', 'Aret Aleksanyan Ingrid Porzner Monika Salzer Margarct Carter', 'Jenny Simanowitz Kathy Tanner Vira Zhuk Susanne Scholl', 'OMAS-ON-STAGE und', 'TELIERTHEATER Eintritt']",0.2
0010.jpg,4,7,3,0.25,0.25,0.75,0.75,"['GRUN ESETZ', 'GRUNDGESETZ', 'MEDITATION', 'UHR', 'REV KA TEL', 'REWE BLIESKASTEL', 'RonnvsKochshow Berlin']",0.75
0011.jpg,7,5,1,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,"['nach Riesa', 'FAS', 'STOPPT', 'DIE AfD', 'her']",0.14285714285714285
0012.jpg,10,3,1,0.9,0.9,0.1,0.1,"['NICHT OHNE', '29.8.2020', 'Berlin invites Europe']",0.1
0013.jpg,9,6,3,0.6875,0.7333333333333333,0.32407407407407407,0.2222222222222222,"['BERLIN ORT: ORANIENPLATZ', 'KUNDGEBUNG', '19.FEB 14 UHR', '19.FEB - 14 UHR', 'JAHRE', 'ISKS']",0.3333333333333333
0014.jpg,8,5,2,0.8693181818181819,0.90625,0.15,0.0,"['HACK', 'SEXISM', '19UhrStart', 'egienund', 'Festivals']",0.25
0015.jpg,5,5,2,0.6888888888888889,0.7,0.325,0.3,"['JUNI', '45', 'BASS', '19 UHR,', 'ESSEN']",0.4
0016.jpg,10,7,4,0.6,0.6,0.4,0.4,"['Bau dein eigenen PC und Smartphone', 'Wo?', 'Mittelpunktbibliothek Treptow', 'PS: Alteleigene Geräte können', 'Wann? zum erforschen mitgebracht', 'Samstag 16.11.2024 werden!', 'Jetzt Anmelden!']",0.4
0017.jpg,10,12,7,0.31240740740740736,0.4,0.6864444444444444,0.6,"['76 Jahre', 'Befreiung vom Faschismus', 'Befreiung', 'vom Faschismus', 'vom', 'heißt', 'heißt', 'Sa, 08.05.2021', 'Sowjetisches Ehrenmahl Buch', 'Kundgebung 15.00 Uhr', 'Vortreffungpunkt 14.30 Uhr', 'Bahnsteig S-Pankow']",0.7
0018.jpeg,8,12,6,0.36454221491228067,0.4666666666666667,0.6361708144796381,0.48333333333333334,"['KUNDGEBUNG DURCH KASSEL', 'mpfpflicht', 'Ärzte sprechen Klartext!', '4', '29 A ""AR 2022', 'JANUAR', 'JA', '14.00 UHR', 'KÖNIGSPLATZ KASSEL', 'KA', 'FREIE BÜRGER', 'KASSEL']",0.75
0019.jpg,8,13,2,0.75,0.75,0.25,0.25,"['a e', 'RALLY', 'START', 'ang und', 'na', 'än(', 'erden und', 'und', 'ins', 'Es', 'an', 'ch ger Zukun', 'Alte']",0.25
0020.jpg,12,7,3,0.763888888888889,0.8333333333333334,0.2352941176470588,0.20833333333333334,"['DEMONSTRATION', 'SONNTAG 0 9.2020', '1', 'SCHÜLERI-INNEN GEGEN', 'NÜRNBERG KA', 'GUNNARK', 'TOLLE REDNER']",0.25
