gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,file_name,ocr_easyocr_clahe
7,6,1,0.9047619047619049,0.9523809523809523,0071.jpg,"['29', 'Store:', 'Grfir:', '2;4;', 'L', 'Augst 2020']"
7,5,0,1.0,1.0,0059.jpg,"['8', 'FLINTA', 'KEZ', 'MARZ', '19']"
13,15,8,0.48018403165461987,0.5935897435897436,0111.jpg,"['2', 'Podium:', 'Martin Krauß', '(Sportjournclist taz)', 'Dr. Michela Wrong', '(britische Journalistin)', 'Fabian Kunow', '(Moderation)', 'und anschl.', 'Kinodokumentation When we were Kings (1997)', 'Blelle Panke', 'Il:about blank Iarkgralendamm 2Ac, 10245 Berlin', 'panke.ce', 'Mo., 25. Nov  19 Uhr', '50 JII:']"
8,4,3,0.6811101028433152,0.73125,0139.jpg,"['WIR BLEIBEN DABEI: SOZIALE LOSUNGEN FÜR SOZIALE PROBLEME:', 'GEGEN DIE ERÖFFNUNGSFEIER DER KOTTI-WACHE', '15.02', '9:C,0 KOTTBUSSER TOR']"
5,11,0,1.0,1.0,0110.jpg,"['100', '2', '28.122', '5', '63', '28.14', '51', '2', '4', '74', '~']"
12,9,0,1.0,1.0,0104.jpg,"['Juio', 'Stecnoamm 102', 'SPace', 'Bastesiosaiße', '2', 'Ulr', '@', '1419 Uhr', '0ipigco']"
10,7,2,0.8485714285714285,1.0,0039.jpeg,"['SGHEN', 'LEFANGENENI', 'DEM0 180325/1992', 'TAGBER', 'GEFANGENEN ZEFCN', 'DEMO', '7ir@']"
29,33,25,0.15931582518190074,0.27885878489326765,0064.jpg,"['Dirk Jüttner', 'Stellvertretende Bezirksbürgermeisterin', 'erfreut uns als Elvis Presley', 'und Leiterin der Abteilung Soziales, Arbeit', 'und Teilhabe', 'des PSV Olympia Berlin', 'Eine kostenlose Fahrradkennzeichnung durch den', 'Polzeiabschnitt 65, außerdem gibt es noch Mit -', 'erfreuen uns mit ihrem Vortrag', 'mach-Aktionen für Kinder; Seifenblasen mit Ciello,', 'Holzarbeiten Schwerter basteln mit Marlies; das', 'Kinderschminken mit Farina und Jessica, Malen', 'Monika Kemmnitz', 'und Basteln mit Michaela und vieles mehr _', ""Unsere Ehrenamtlichen des KIEZKLUB's und das"", 'Seniorenpflegeheim DOMIZIL verwöhnen sie mit', 'selbstgebackenem Kuchen. Für Ihr leibliches Wohl', 'ist gesorgt', 'K / E Z K L U B', 'Es spielt &ie Combo des', 'Landespolizeiorchesters', 'Branderburg', 'Die fröhlichen Hersstlercken', 'Kreistanzsrupre unter Leitung von', 'a', 'Sascag,', 'ven 14 - 18 Uhr', 'Eröfinung durch Frau Weingart', 'Kinder- und Erwachsenen-Tasztean', 'Es', 'spiekt', 'Juli 2023', 'die Ccmbo des']"
6,8,6,0.07474747474747474,0.4666666666666666,0066.jpg,"['Veranstaltungsforum', 'Fürstenfeld', '11.', '15.Mai 2022', 'hocusPocus', 'cürstenfelc', 'Festival der Zauberkunst', '11.- 15.Mai 2022']"
27,30,14,0.5208775792109125,0.7111111111111111,0072.jpg,"['OMAS', 'MI 44.2.2024', '(Bahnhofstraße 69)', 'ab 17:00 Kundgebung, Markplatz Ried', 'mit Monika Salzer, Hans-Henning Scharsach', 'und Susanne Scholl', 'kulturlandimpulse at', 'Bitte Kerze mitnehmen!', 'ZuM', 'GEGEN', 'RECHTS', 'Demokpatie', 'Demo UNd Lichtermeer', 'Zusammenhalten', 'Rechts', 'MI', '44.2.2024', 'ab 16.00', 'Cms', 'Kulturpolitischer', 'icegen', 'er', 'Unserer', 'Ried IM innkreis', 'SChutz', 'AS', 'UNd Lichtermeer', 'Giesserei, Ried', 'ab 17.00 Kundgebung_', 'Markplatz Ried']"
